sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels,errors
MQCCS-Skin-A-Regular,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Skin-A-Regular","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-skin-a-regular,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Skin,socks_size=A,socks_style=Regular",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_skin.jpg,,,,,,,,,,,,,,,
MQCCS-Skin-A-Short,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Skin-A-Short","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-skin-a-short,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Skin,socks_size=A,socks_style=Short",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_skin.jpg,,,,,,,,,,,,,,,
MQCCS-Skin-D-Regular,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Skin-D-Regular","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-skin-d-regular,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Skin,socks_size=D,socks_style=Regular",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_skin.jpg,,,,,,,,,,,,,,,
MQCCS-Skin-D-Short,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Skin-D-Short","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-skin-d-short,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Skin,socks_size=D,socks_style=Short",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_skin.jpg,,,,,,,,,,,,,,,
MQCCS-Skin-C-Regular,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Skin-C-Regular","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-skin-c-regular,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Skin,socks_size=C,socks_style=Regular",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_skin.jpg,,,,,,,,,,,,,,,
MQCCS-Skin-C-Short,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Skin-C-Short","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-skin-c-short,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Skin,socks_size=C,socks_style=Short",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_skin.jpg,,,,,,,,,,,,,,,
MQCCS,,"Socks Attribute Set",configurable,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression liner socks.</p>",0.125,1,"Taxable Goods","Catalog, Search",,,,,mediquip-cushioned-compression-socks,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_black.jpg,,,,,,,,,,,,,"sku=MQCCS-Black-D-Short,socks_color=Black,socks_size=D,socks_style=Short|sku=MQCCS-Black-D-Regular,socks_color=Black,socks_size=D,socks_style=Regular|sku=MQCCS-Black-A-Short,socks_color=Black,socks_size=A,socks_style=Short|sku=MQCCS-Black-A-Regular,socks_color=Black,socks_size=A,socks_style=Regular|sku=MQCCS-Black-C-Short,socks_color=Black,socks_size=C,socks_style=Short|sku=MQCCS-Black-B-Short,socks_color=Black,socks_size=B,socks_style=Short|sku=MQCCS-Black-C-Regular,socks_color=Black,socks_size=C,socks_style=Regular|sku=MQCCS-Black-B-Regular,socks_color=Black,socks_size=B,socks_style=Regular|sku=MQCCS-Skin-A-Regular,socks_color=Skin,socks_size=A,socks_style=Regular|sku=MQCCS-Skin-C-Short,socks_color=Skin,socks_size=C,socks_style=Short|sku=MQCCS-Skin-B-Short,socks_color=Skin,socks_size=B,socks_style=Short|sku=MQCCS-Skin-C-Regular,socks_color=Skin,socks_size=C,socks_style=Regular|sku=MQCCS-Skin-B-Regular,socks_color=Skin,socks_size=B,socks_style=Regular|sku=MQCCS-Skin-D-Short,socks_color=Skin,socks_size=D,socks_style=Short|sku=MQCCS-Skin-D-Regular,socks_color=Skin,socks_size=D,socks_style=Regular|sku=MQCCS-Skin-A-Short,socks_color=Skin,socks_size=A,socks_style=Short","socks_color=Socks Color,socks_size=Socks Size,socks_style=Socks Style",
MQCLS-Small,,"Liner Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip 10-15 mmHg Compression Liner Socks-Small","<p>Liners are normally worn under ulcer care compression stockings and alternative compression wraps. Some provide light compression. All of them protect the outer stocking from dirt, oils, and bodily fluids which will increase the life-span of the outer stocking.</p>","<p>This is short description for compression liner socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",7.5,,,,mediquip-10-15-mmhg-compression-liner-socks-small,"MediQuip 10-15 mmHg Compression Liner Socks","MediQuip 10-15 mmHg Compression Liner Socks","MediQuip 10-15 mmHg Compression Liner Socks ",liner_socks.jpeg,,liner_socks.jpeg,,liner_socks.jpeg,,liner_socks.jpeg,,"12/2/22, 12:03 PM","12/2/22, 12:03 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,liner_socks_size=Small,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,liner_socks.jpeg,,,,,,,,,,,,,,,
MQCLS-Medium,,"Liner Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip 10-15 mmHg Compression Liner Socks-Medium","<p>Liners are normally worn under ulcer care compression stockings and alternative compression wraps. Some provide light compression. All of them protect the outer stocking from dirt, oils, and bodily fluids which will increase the life-span of the outer stocking.</p>","<p>This is short description for compression liner socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",7.5,,,,mediquip-10-15-mmhg-compression-liner-socks-medium,"MediQuip 10-15 mmHg Compression Liner Socks","MediQuip 10-15 mmHg Compression Liner Socks","MediQuip 10-15 mmHg Compression Liner Socks ",liner_socks.jpeg,,liner_socks.jpeg,,liner_socks.jpeg,,liner_socks.jpeg,,"12/2/22, 12:03 PM","12/2/22, 12:03 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,liner_socks_size=Medium,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,liner_socks.jpeg,,,,,,,,,,,,,,,
MQCLS-2XLarge,,"Liner Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip 10-15 mmHg Compression Liner Socks-2XLarge","<p>Liners are normally worn under ulcer care compression stockings and alternative compression wraps. Some provide light compression. All of them protect the outer stocking from dirt, oils, and bodily fluids which will increase the life-span of the outer stocking.</p>","<p>This is short description for compression liner socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",7.5,,,,mediquip-10-15-mmhg-compression-liner-socks-2xlarge,"MediQuip 10-15 mmHg Compression Liner Socks","MediQuip 10-15 mmHg Compression Liner Socks","MediQuip 10-15 mmHg Compression Liner Socks ",liner_socks.jpeg,,liner_socks.jpeg,,liner_socks.jpeg,,liner_socks.jpeg,,"12/2/22, 12:03 PM","12/2/22, 12:03 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,liner_socks_size=2XLarge,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,liner_socks.jpeg,,,,,,,,,,,,,,,
MQCLS-XLarge,,"Liner Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip 10-15 mmHg Compression Liner Socks-XLarge","<p>Liners are normally worn under ulcer care compression stockings and alternative compression wraps. Some provide light compression. All of them protect the outer stocking from dirt, oils, and bodily fluids which will increase the life-span of the outer stocking.</p>","<p>This is short description for compression liner socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",7.5,,,,mediquip-10-15-mmhg-compression-liner-socks-xlarge,"MediQuip 10-15 mmHg Compression Liner Socks","MediQuip 10-15 mmHg Compression Liner Socks","MediQuip 10-15 mmHg Compression Liner Socks ",liner_socks.jpeg,,liner_socks.jpeg,,liner_socks.jpeg,,liner_socks.jpeg,,"12/2/22, 12:03 PM","12/2/22, 12:03 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,liner_socks_size=XLarge,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,liner_socks.jpeg,,,,,,,,,,,,,,,
MQCLS-Large,,"Liner Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip 10-15 mmHg Compression Liner Socks-Large","<p>Liners are normally worn under ulcer care compression stockings and alternative compression wraps. Some provide light compression. All of them protect the outer stocking from dirt, oils, and bodily fluids which will increase the life-span of the outer stocking.</p>","<p>This is short description for compression liner socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",7.5,,,,mediquip-10-15-mmhg-compression-liner-socks-large,"MediQuip 10-15 mmHg Compression Liner Socks","MediQuip 10-15 mmHg Compression Liner Socks","MediQuip 10-15 mmHg Compression Liner Socks ",liner_socks.jpeg,,liner_socks.jpeg,,liner_socks.jpeg,,liner_socks.jpeg,,"12/2/22, 12:03 PM","12/2/22, 12:03 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,liner_socks_size=Large,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,liner_socks.jpeg,,,,,,,,,,,,,,,
