sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
MQCCS-Skin-A-Regular,,Socks Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip Cushioned Compression Socks-Skin-A-Regular,,,0.125,1,Taxable Goods,Not Visible Individually,5,,,,mediquip-cushioned-compression-socks-skin-a-regular,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks ,,,,,,,,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"socks_color=Skin,socks_size=A,socks_style=Regular",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQCCS-Skin-A-Short,,Socks Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip Cushioned Compression Socks-Skin-A-Short,,,0.125,1,Taxable Goods,Not Visible Individually,5,,,,mediquip-cushioned-compression-socks-skin-a-short,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks ,,,,,,,,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"socks_color=Skin,socks_size=A,socks_style=Short",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQCCS-Skin-D-Regular,,Socks Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip Cushioned Compression Socks-Skin-D-Regular,,,0.125,1,Taxable Goods,Not Visible Individually,5,,,,mediquip-cushioned-compression-socks-skin-d-regular,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks ,,,,,,,,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"socks_color=Skin,socks_size=D,socks_style=Regular",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQCCS-Skin-D-Short,,Socks Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip Cushioned Compression Socks-Skin-D-Short,,,0.125,1,Taxable Goods,Not Visible Individually,5,,,,mediquip-cushioned-compression-socks-skin-d-short,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks ,,,,,,,,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"socks_color=Skin,socks_size=D,socks_style=Short",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQCCS-Skin-C-Regular,,Socks Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip Cushioned Compression Socks-Skin-C-Regular,,,0.125,1,Taxable Goods,Not Visible Individually,5,,,,mediquip-cushioned-compression-socks-skin-c-regular,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks ,,,,,,,,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"socks_color=Skin,socks_size=C,socks_style=Regular",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQCCS-Skin-C-Short,,Socks Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip Cushioned Compression Socks-Skin-C-Short,,,0.125,1,Taxable Goods,Not Visible Individually,5,,,,mediquip-cushioned-compression-socks-skin-c-short,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks ,,,,,,,,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"socks_color=Skin,socks_size=C,socks_style=Short",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQCCS,,Socks Attribute Set,configurable,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip Cushioned Compression Socks,,,0.125,1,Taxable Goods,"Catalog, Search",,,,,mediquip-cushioned-compression-socks,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks,MediQuip Cushioned Compression Socks ,,,,,,,,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"sku=MQCCS-Black-D-Short,socks_color=Black,socks_size=D,socks_style=Short|sku=MQCCS-Black-D-Regular,socks_color=Black,socks_size=D,socks_style=Regular|sku=MQCCS-Black-A-Short,socks_color=Black,socks_size=A,socks_style=Short|sku=MQCCS-Black-A-Regular,socks_color=Black,socks_size=A,socks_style=Regular|sku=MQCCS-Black-C-Short,socks_color=Black,socks_size=C,socks_style=Short|sku=MQCCS-Black-B-Short,socks_color=Black,socks_size=B,socks_style=Short|sku=MQCCS-Black-C-Regular,socks_color=Black,socks_size=C,socks_style=Regular|sku=MQCCS-Black-B-Regular,socks_color=Black,socks_size=B,socks_style=Regular|sku=MQCCS-Skin-A-Regular,socks_color=Skin,socks_size=A,socks_style=Regular|sku=MQCCS-Skin-C-Short,socks_color=Skin,socks_size=C,socks_style=Short|sku=MQCCS-Skin-B-Short,socks_color=Skin,socks_size=B,socks_style=Short|sku=MQCCS-Skin-C-Regular,socks_color=Skin,socks_size=C,socks_style=Regular|sku=MQCCS-Skin-B-Regular,socks_color=Skin,socks_size=B,socks_style=Regular|sku=MQCCS-Skin-D-Short,socks_color=Skin,socks_size=D,socks_style=Short|sku=MQCCS-Skin-D-Regular,socks_color=Skin,socks_size=D,socks_style=Regular|sku=MQCCS-Skin-A-Short,socks_color=Skin,socks_size=A,socks_style=Short","socks_color=Socks Color,socks_size=Socks Size,socks_style=Socks Style"
MQCLS-Small,,Liner Socks Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip 10-15 mmHg Compression Liner Socks-Small,,,0.125,1,Taxable Goods,Not Visible Individually,7.5,,,,mediquip-10-15-mmhg-compression-liner-socks-small,MediQuip 10-15 mmHg Compression Liner Socks,MediQuip 10-15 mmHg Compression Liner Socks,MediQuip 10-15 mmHg Compression Liner Socks ,,,,,,,,,"12/2/22, 12:03 PM","12/2/22, 12:03 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,liner_socks_size=Small,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQCLS-Medium,,Liner Socks Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip 10-15 mmHg Compression Liner Socks-Medium,,,0.125,1,Taxable Goods,Not Visible Individually,7.5,,,,mediquip-10-15-mmhg-compression-liner-socks-medium,MediQuip 10-15 mmHg Compression Liner Socks,MediQuip 10-15 mmHg Compression Liner Socks,MediQuip 10-15 mmHg Compression Liner Socks ,,,,,,,,,"12/2/22, 12:03 PM","12/2/22, 12:03 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,liner_socks_size=Medium,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQCLS-2XLarge,,Liner Socks Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip 10-15 mmHg Compression Liner Socks-2XLarge,,,0.125,1,Taxable Goods,Not Visible Individually,7.5,,,,mediquip-10-15-mmhg-compression-liner-socks-2xlarge,MediQuip 10-15 mmHg Compression Liner Socks,MediQuip 10-15 mmHg Compression Liner Socks,MediQuip 10-15 mmHg Compression Liner Socks ,,,,,,,,,"12/2/22, 12:03 PM","12/2/22, 12:03 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,liner_socks_size=2XLarge,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQCLS-XLarge,,Liner Socks Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip 10-15 mmHg Compression Liner Socks-XLarge,,,0.125,1,Taxable Goods,Not Visible Individually,7.5,,,,mediquip-10-15-mmhg-compression-liner-socks-xlarge,MediQuip 10-15 mmHg Compression Liner Socks,MediQuip 10-15 mmHg Compression Liner Socks,MediQuip 10-15 mmHg Compression Liner Socks ,,,,,,,,,"12/2/22, 12:03 PM","12/2/22, 12:03 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,liner_socks_size=XLarge,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQCLS-Large,,Liner Socks Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip 10-15 mmHg Compression Liner Socks-Large,,,0.125,1,Taxable Goods,Not Visible Individually,7.5,,,,mediquip-10-15-mmhg-compression-liner-socks-large,MediQuip 10-15 mmHg Compression Liner Socks,MediQuip 10-15 mmHg Compression Liner Socks,MediQuip 10-15 mmHg Compression Liner Socks ,,,,,,,,,"12/2/22, 12:03 PM","12/2/22, 12:03 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,liner_socks_size=Large,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQCLS,,Liner Socks Attribute Set,configurable,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,MediQuip 10-15 mmHg Compression Liner Socks,"<style>#html-body [data-pb-style=T686WEQ]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""T686WEQ""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>Occasionally, our feet may need a little bit of extra support. For those who love hiking, running, and sports or spend many hours in a high-impact job on their feet, cushioned compression socks may be the extra you need!<br>Our colorful cushioned socks are specially designed to allow for better shock absorption, more fantastic assistance in preventing and soothing foot pain, and give you more comfort than ever. All of the features you've come to know and love about our compression socks and a little more are all right here in this colorful cushioned socks collection.</p></div></div></div>","<p>Occasionally, our feet may need a little bit of extra support. For those who love hiking, running, and sports or spend many hours in a high-impact job on their feet, cushioned compression socks may be the extra you need!</p>",0.125,1,Taxable Goods,"Catalog, Search",,,,,mediquip-compression-liner-socks,MediQuip 10-15 mmHg Compression Liner Socks,MediQuip 10-15 mmHg Compression Liner Socks,MediQuip 10-15 mmHg Compression Liner Socks ,/7/1/714574mpyhl._ux679__1.jpg,,/7/1/714574mpyhl._ux679__1.jpg,,/7/1/714574mpyhl._ux679__1.jpg,,,,"12/2/22, 12:03 PM","12/3/22, 4:13 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/7/1/714574mpyhl._ux679__1.jpg,,,,,,,,,,,,,"sku=MQCLS-Small,liner_socks_size=Small|sku=MQCLS-Medium,liner_socks_size=Medium|sku=MQCLS-Large,liner_socks_size=Large|sku=MQCLS-XLarge,liner_socks_size=XLarge|sku=MQCLS-2XLarge,liner_socks_size=2XLarge",liner_socks_size=Liner Socks Size
MQSFAFM-2-Case of 60,,Mouthwash Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Oral Care",base,MediQuip SparkleFresh Alcohol-Free Mouthwash-2-Case of 60,,,7.5,1,Taxable Goods,Not Visible Individually,20,,,,mediquip-sparklefresh-alcohol-free-mouthwash-2-case-of-60,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash ,,,,,,,,,"12/2/22, 11:46 PM","12/2/22, 11:46 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"mouthwash_ounce=2,mouthwash_pack_size=Case of 60",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQSFAFM-2-Case of 12,,Mouthwash Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Oral Care",base,MediQuip SparkleFresh Alcohol-Free Mouthwash-2-Case of 12 ,,,4,1,Taxable Goods,Not Visible Individually,10,,,,mediquip-sparklefresh-alcohol-free-mouthwash-2-case-of-12,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash ,,,,,,,,,"12/2/22, 11:46 PM","12/2/22, 11:46 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"mouthwash_ounce=2,mouthwash_pack_size=Case of 12",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQSFAFM-2-Each,,Mouthwash Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Oral Care",base,MediQuip SparkleFresh Alcohol-Free Mouthwash-2-Each,,,1,1,Taxable Goods,Not Visible Individually,5,,,,mediquip-sparklefresh-alcohol-free-mouthwash-2-each,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash ,,,,,,,,,"12/2/22, 11:46 PM","12/2/22, 11:46 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"mouthwash_ounce=2,mouthwash_pack_size=Each",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQSFAFM-4-Case of 60,,Mouthwash Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Oral Care",base,MediQuip SparkleFresh Alcohol-Free Mouthwash-4-Case of 60,,,15,1,Taxable Goods,Not Visible Individually,25,,,,mediquip-sparklefresh-alcohol-free-mouthwash-4-case-of-60,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash ,,,,,,,,,"12/2/22, 11:46 PM","12/2/22, 11:46 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"mouthwash_ounce=4,mouthwash_pack_size=Case of 60",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQSFAFM-4-Case of 12,,Mouthwash Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Oral Care",base,MediQuip SparkleFresh Alcohol-Free Mouthwash-4-Case of 12 ,,,8,1,Taxable Goods,Not Visible Individually,20,,,,mediquip-sparklefresh-alcohol-free-mouthwash-4-case-of-12,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash ,,,,,,,,,"12/2/22, 11:46 PM","12/2/22, 11:46 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"mouthwash_ounce=4,mouthwash_pack_size=Case of 12",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQSFAFM-4-Each,,Mouthwash Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Oral Care",base,MediQuip SparkleFresh Alcohol-Free Mouthwash-4-Each,,,2,1,Taxable Goods,Not Visible Individually,10,,,,mediquip-sparklefresh-alcohol-free-mouthwash-4-each,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash ,,,,,,,,,"12/2/22, 11:46 PM","12/2/22, 11:46 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"mouthwash_ounce=4,mouthwash_pack_size=Each",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
